STRASSE,HsNr,PLZ,ORT,ANMERKUNG,LATITUDE,LONGITUDE,ALTITUDE,GEOMETRY,한국어
Am Falder,140,40589,Düsseldorf,direkt neben dem Wasserspielplatz im Elbbroichpark - Zufahrt über die Stichstraße neben dem Haus Am Falder 134 bis in den Park - linke Seite,51.173994,6.825581,0,point,엘브로이히 공원 내 물놀이장 바로 옆 - Am Falder 134번지 옆 골목길을 통해 공원으로 진입 - 왼쪽에 위치
Am Nordfriedhof,1,40468,Düsseldorf,Nordfriedhof (der Schlüssel ist bei den Servicekräften erhältlich),51.253859,6.771308,0,point,Nordfriedhof (열쇠는 서비스 직원에게서 받을 수 있음)
Am Südfriedhof,16,40221,Düsseldorf,Südfriedhof Nähe Haupteingang,51.199538,6.755082,0,point,Südfriedhof 근처 메인 입구
Bachstraße,145,40217,Düsseldorf,"Hallenbad ""Schwimm in Bilk""",51.209339,6.775569,0,point,"""Bilk 수영장 """"Schwimm in Bilk"""""""
Belsenplatz,,40545,Düsseldorf,Büdchen Verkehrsinsel mittig des Belsenplatzes ggü Belsenplatz 5,51.231492,6.74729,0,point,Belsenplatz 중앙 교통섬의 매점 - Belsenplatz 5번지 맞은편
Benrather Busbahnhof,,40597,Düsseldorf,"integriert im Straßenbauwerk - unterhalb der ""Hochstraße"" Müchener Straße",51.161731,6.878625,0,point,"도로 구조물 내 - ""Münchener Straße"" 고가도로 아래"
Benrather Marktplatz,,40597,Düsseldorf,ggü HSnr 6 auf der Freifläche,51.163664,6.872987,0,point,6번지 맞은편의 공터
Benrather Marktplatz,,40597,Düsseldorf,unterirdisch - auf der Freifläche,51.163641,6.873382,0,point,지하 공간 - 공터
Benrather Schlossallee,100-106,40597,Düsseldorf,Museum Schloss Benrath,51.161991,6.868812,0,point,Benrath 궁전 박물관
Berger Allee,2,40213,Düsseldorf,Stadtmuseum Düsseldorf,51.222144,6.76983,0,point,뒤셀도르프 시립 박물관
Bertha-von-Suttner-Platz,,40227,Düsseldorf,Weiterbildungszentrum,51.218746,6.796204,0,point,Weiterbildungszentrum(교육 센터)
Bittweg,60,40225,Düsseldorf,Friedhof Stoffeln,51.20222,6.79463,0,point,Stoffeln 묘지
Bonner Straße,121,40589,Düsseldorf,Freizeitpark Niederheid,51.1711,6.84373,0,point,Freizeitpark Niederheid (니더하이트 공원)
Bonner Straße,,40589,Düsseldorf,Kamper Acker - auf der Spitze der Freifläche,51.175263,6.833341,0,point,Kamper Acker - 공터의 끝
Brehmplatz - Graf-Recke-Straße,,40239,Düsseldorf,ggü Graf-Recke-Straße 9 - an der Spitze des Taxistandes,51.238812,6.803581,0,point,Graf-Recke-Straße 9번지 맞은편 - 택시 정류장 끝
Burgplatz,1,40213,Düsseldorf,Akademie-Galerie,51.226643,6.771098,0,point,Akademie-Galerie(아카데미 갤러리)
Burgplatz,3,40213,Düsseldorf,Burgplatz ggü HSnr 12,51.226466,6.772123,0,point,Burgplatz 12번지 맞은편
Burgplatz,,40213,Düsseldorf,Containeranlage neben der Freitreppe - BR Rheinstrom - steht nicht ganzjährig zur Verfügung,51.22771,6.770605,0,point,계단 옆 컨테이너 - BR Rheinstrom - 연중 상시 사용 불가
Burgplatz,,40213,Düsseldorf,Taxistand,51.22701,6.771975,0,point,택시 정류장
Carlsplatz,,40213,Düsseldorf,an der Ecke Bergerstraße - Carlsplatz - ggü HSnr 24,51.223735,6.773072,0,point,Bergerstraße - Carlsplatz 교차로 - 24번지 맞은편
Cecilienallee,,40474,Düsseldorf,Ecke Golzheimer Platz - ggü Cecilienallee 46,51.245628,6.76692,0,point,Golzheimer Platz 코너 - Cecilienallee 46번지 맞은편
Citadellstraße,2B,40213,Düsseldorf,Schulmuseum,51.223044,6.770463,0,point,Schulmuseum(학교 박물관)
Dorotheenstraße,,40235,Düsseldorf,auf dem Dorotheenplatz - zw Flügel - und Fortunastraße,51.227062,6.811845,0,point,Dorotheenplatz 내 - Flügelstraße와 Fortunastraße 사이
Dreherstraße - Am Wallgraben,,40625,Düsseldorf,auf dem Platz Ecke Dreherstraße - Am Wallgraben,51.236718,6.859682,0,point,Dreherstraße - Am Wallgraben 교차로의 광장
Ehrenhof,1,40479,Düsseldorf,Tonhalle im Erdgeschoss bei Aufgang G,51.232156,6.773115,0,point,Tonhalle - G 출입구 옆 1층
Ehrenhof,2,40479,Düsseldorf,NRW-Forum,51.233281,6.772175,0,point,NRW-Forum(노르트라인 베스트팔렌 포럼)
Ehrenhof,04월 05일,40479,Düsseldorf,Museum Kunstpalast - Glasmuseum Hentrich,51.234989,6.772901,0,point,Kunstpalast 미술관 - Glasmuseum Hentrich(유리 박물관 헨트리히)
Emmastraße,,40227,Düsseldorf,Volksgarten,51.208213,6.79901,0,point,Volksgarten(폭스가르텐)
Europaplatz,1,40474,Düsseldorf,Rheinbad - Haltestelle Sportpark Nord-Europaplatz,51.265138,6.733172,0,point,Rheinbad - Sportpark Nord-Europaplatz 정류장
Flinger Passage,,40213,Düsseldorf,Fussgängerpassage - Zugang u a über Heinrich - Heine - Platz - unterirdisch,51.225535,6.77665,0,point,Heinrich-Heine-Platz 지하 보행자 통로
Frankenplatz,,40476,Düsseldorf,direkt neben dem Wasserspielplatz - auf der Grünanlage zwischen Frankenstraße - Roßstraße - Tannenstraße,51.249603,6.776908,0,point,Frankenstraße - Roßstraße - Tannenstraße 사이 녹지대 - 물놀이장 바로 옆
Friedhof Eller - Werstener Feld,,,Düsseldorf,Friedhof Eller an der Kapelle,51.192248,6.832607,0,point,Friedhof Eller 예배당
Friedrichstraße,129 -133,40217,Düsseldorf,Bilker Arcaden im Untergeschoss,51.208616,6.77612,0,point,Bilker Arcaden 지하
Friedrichstraße,152,40217,Düsseldorf,An Bushaltestelle vor dem Real-Parkplatz,51.208722,6.777374,0,point,Real 주차장 앞 버스 정류장
Friedrichstraße,,40217,Düsseldorf,bei Friedrichstraße 40,51.214967,6.776867,0,point,Friedrichstraße 40번지 인근
Fritz-Erler-Straße,21,40595,Düsseldorf,Freizeitstätte Garath - Zentrum plus Garath,51.144925,6.898449,0,point,Freizeitstätte Garath - Zentrum plus Garath
Fürstenplatz,,40215,Düsseldorf,am Parkrand - ggü HSnr 14 - 15 - Übergang zur Morsestraße,51.212973,6.785148,0,point,공원 가장자리 - 14~15번지 맞은편 - Morsestraße 방면
Getrudisplatz,,40229,Düsseldorf,"auf der ""Spitze"" der Grünfläche - ggü Gertrudisplatz 16-18",51.200594,6.838833,0,point,Grünfläche 끝 - Gertrudisplatz 16~18번지 맞은편
Grabbeplatz,4,40213,Düsseldorf,Kunsthalle,51.227672,6.775861,0,point,Kunsthalle(미술관)
Grabbeplatz,5,40213,Düsseldorf,K20 (Kunstsammlung Nordrhein-Westfalen),51.228256,6.776175,0,point,K20 (북라인베스트팔렌 미술 컬렉션)
